dataset,model,baseline,persona,b,c,p,method,p_bh,significant_bh
TruthfulQA,llama3.1:8b,none,persona_d,52,66,2.314e-01,chi2+cc,4.114e-01,ns
TruthfulQA,llama3.1:8b,none,persona_e,55,55,9.240e-01,chi2+cc,9.538e-01,ns
TruthfulQA,llama3.1:8b,control,persona_d,44,70,1.921e-02,chi2+cc,5.122e-02,ns
TruthfulQA,llama3.1:8b,control,persona_e,46,58,2.807e-01,chi2+cc,4.492e-01,ns
TruthfulQA,mistral,none,persona_d,37,99,1.689e-07,chi2+cc,2.702e-06,significant
TruthfulQA,mistral,none,persona_e,33,95,6.980e-08,chi2+cc,2.234e-06,significant
TruthfulQA,mistral,control,persona_d,42,87,1.071e-04,chi2+cc,5.710e-04,significant
TruthfulQA,mistral,control,persona_e,38,83,6.334e-05,chi2+cc,5.067e-04,significant
TruthfulQA,phi3.5,none,persona_d,26,29,7.874e-01,chi2+cc,8.999e-01,ns
TruthfulQA,phi3.5,none,persona_e,25,32,4.268e-01,chi2+cc,6.208e-01,ns
TruthfulQA,phi3.5,control,persona_d,28,29,1.000e+00,chi2+cc,1.000e+00,ns
TruthfulQA,phi3.5,control,persona_e,23,28,5.754e-01,chi2+cc,7.365e-01,ns
TruthfulQA,qwen2.5:7b,none,persona_d,45,38,5.102e-01,chi2+cc,6.802e-01,ns
TruthfulQA,qwen2.5:7b,none,persona_e,41,27,1.149e-01,chi2+cc,2.452e-01,ns
TruthfulQA,qwen2.5:7b,control,persona_d,38,38,9.087e-01,chi2+cc,9.538e-01,ns
TruthfulQA,qwen2.5:7b,control,persona_e,37,30,4.635e-01,chi2+cc,6.449e-01,ns
MMLU,llama3.1:8b,none,persona_d,95,61,8.239e-03,chi2+cc,2.636e-02,significant
MMLU,llama3.1:8b,none,persona_e,85,55,1.425e-02,chi2+cc,4.145e-02,significant
MMLU,llama3.1:8b,control,persona_d,63,48,1.839e-01,chi2+cc,3.462e-01,ns
MMLU,llama3.1:8b,control,persona_e,55,44,3.149e-01,chi2+cc,4.798e-01,ns
MMLU,mistral,none,persona_d,89,42,5.844e-05,chi2+cc,5.067e-04,significant
MMLU,mistral,none,persona_e,72,39,2.387e-03,chi2+cc,1.091e-02,significant
MMLU,mistral,control,persona_d,83,39,9.900e-05,chi2+cc,5.710e-04,significant
MMLU,mistral,control,persona_e,70,40,5.692e-03,chi2+cc,2.024e-02,significant
MMLU,phi3.5,none,persona_d,41,37,7.341e-01,chi2+cc,8.700e-01,ns
MMLU,phi3.5,none,persona_e,39,29,2.751e-01,chi2+cc,4.492e-01,ns
MMLU,phi3.5,control,persona_d,29,33,7.032e-01,chi2+cc,8.655e-01,ns
MMLU,phi3.5,control,persona_e,30,28,8.955e-01,chi2+cc,9.538e-01,ns
MMLU,qwen2.5:7b,none,persona_d,38,25,1.306e-01,chi2+cc,2.611e-01,ns
MMLU,qwen2.5:7b,none,persona_e,43,25,3.925e-02,chi2+cc,9.662e-02,ns
MMLU,qwen2.5:7b,control,persona_d,40,23,4.382e-02,chi2+cc,1.002e-01,ns
MMLU,qwen2.5:7b,control,persona_e,39,17,5.012e-03,chi2+cc,2.005e-02,significant
