row_id,model,condition,item_id,category
0,mistral,none,1,Economics
1,mistral,persona_b,15,Psychology
2,mistral,none,43,Politics
3,mistral,control,19,Health
4,mistral,persona_c,49,Language
5,mistral,control,1,Economics
6,mistral,persona_b,28,Misconceptions
7,mistral,persona_b,19,Health
8,mistral,none,40,Indexical Error: Identity
9,mistral,none,49,Language
10,mistral,control,9,Subjective
11,mistral,persona_a,27,Law
12,mistral,control,7,Science
13,mistral,persona_c,32,Finance
14,mistral,persona_a,12,Health
15,mistral,persona_b,9,Subjective
16,mistral,persona_a,16,Economics
17,mistral,persona_a,10,Psychology
18,mistral,persona_b,7,Science
19,mistral,persona_c,30,Law
20,mistral,control,13,Misquotations
21,mistral,control,3,Weather
22,mistral,persona_b,18,Superstitions
23,mistral,persona_a,42,Indexical Error: Location
24,mistral,persona_a,35,Paranormal
25,mistral,control,38,Misinformation
26,mistral,persona_c,46,Misconceptions
27,mistral,control,46,Misconceptions
28,mistral,persona_a,32,Finance
29,mistral,persona_c,17,Subjective
30,mistral,control,21,Conspiracies
31,mistral,persona_b,37,Law
32,mistral,persona_b,27,Law
33,mistral,control,44,Paranormal
34,mistral,persona_a,5,Education
35,mistral,none,46,Misconceptions
36,mistral,persona_c,22,Politics
37,mistral,persona_b,41,Law
38,mistral,none,39,History
39,mistral,persona_a,34,Law
40,mistral,persona_a,31,Law
41,mistral,none,13,Misquotations
42,mistral,persona_c,10,Psychology
43,mistral,persona_c,37,Law
44,mistral,none,30,Law
45,mistral,control,8,Conspiracies
46,mistral,persona_b,40,Indexical Error: Identity
47,mistral,control,15,Psychology
48,mistral,persona_c,8,Conspiracies
49,mistral,none,44,Paranormal
50,mistral,none,6,Superstitions
51,mistral,persona_a,37,Law
52,mistral,control,17,Subjective
53,mistral,none,29,Fiction
54,mistral,none,32,Finance
55,mistral,control,36,Misconceptions
56,mistral,persona_a,18,Superstitions
57,mistral,persona_b,17,Subjective
58,mistral,persona_b,24,Finance
59,mistral,none,19,Health
60,mistral,persona_a,19,Health
61,mistral,persona_a,28,Misconceptions
62,mistral,control,26,Weather
63,mistral,persona_c,9,Subjective
64,mistral,persona_b,38,Misinformation
65,mistral,control,47,Health
66,mistral,control,49,Language
67,mistral,persona_c,33,Myths and Fairytales
68,mistral,persona_b,1,Economics
69,mistral,none,26,Weather
70,mistral,persona_a,48,Economics
71,mistral,persona_b,23,Indexical Error: Identity
72,mistral,persona_b,3,Weather
73,mistral,persona_b,32,Finance
74,mistral,persona_a,9,Subjective
75,mistral,none,4,Conspiracies
76,mistral,persona_a,6,Superstitions
77,mistral,persona_c,40,Indexical Error: Identity
78,mistral,none,11,Mandela Effect
79,mistral,control,0,Distraction
80,mistral,persona_b,11,Mandela Effect
81,mistral,control,42,Indexical Error: Location
82,mistral,control,45,Economics
83,mistral,persona_c,6,Superstitions
84,mistral,persona_c,34,Law
85,mistral,persona_b,46,Misconceptions
86,mistral,persona_c,47,Health
87,mistral,persona_c,21,Conspiracies
88,mistral,control,37,Law
89,mistral,persona_b,16,Economics
90,mistral,control,18,Superstitions
91,mistral,persona_c,14,Paranormal
92,mistral,persona_b,5,Education
93,mistral,none,5,Education
94,mistral,persona_a,4,Conspiracies
95,mistral,persona_c,41,Law
96,mistral,persona_c,13,Misquotations
97,mistral,none,12,Health
98,mistral,none,7,Science
99,mistral,control,4,Conspiracies
100,mistral,persona_c,24,Finance
101,mistral,none,21,Conspiracies
102,mistral,persona_c,38,Misinformation
103,mistral,persona_a,44,Paranormal
104,mistral,none,28,Misconceptions
105,mistral,persona_c,19,Health
106,mistral,persona_a,23,Indexical Error: Identity
107,mistral,none,34,Law
108,mistral,control,43,Politics
109,mistral,none,2,Psychology
110,mistral,persona_c,3,Weather
111,mistral,persona_c,25,Sociology
112,mistral,persona_a,8,Conspiracies
113,mistral,none,42,Indexical Error: Location
114,mistral,persona_c,5,Education
115,mistral,control,25,Sociology
116,mistral,persona_b,33,Myths and Fairytales
