dataset,model,test,comparison,statistic,p_value,note
TruthfulQA,llama3.1:8b,cochran_q,,18.2510,1.102e-03,817
TruthfulQA,mistral,cochran_q,,55.8477,2.158e-11,817
TruthfulQA,phi3.5,cochran_q,,9.4737,5.029e-02,817
TruthfulQA,qwen2.5:7b,cochran_q,,15.0517,4.595e-03,817
TruthfulQA,llama3.1:8b,mcnemar,none vs persona_a,b=68 c=55,2.793e-01,chi2+cc
TruthfulQA,llama3.1:8b,mcnemar,none vs persona_b,b=55 c=79,4.693e-02,chi2+cc
TruthfulQA,llama3.1:8b,mcnemar,none vs persona_c,b=54 c=61,5.758e-01,chi2+cc
TruthfulQA,llama3.1:8b,mcnemar,control vs persona_a,b=63 c=62,1.000e+00,chi2+cc
TruthfulQA,llama3.1:8b,mcnemar,control vs persona_b,b=46 c=82,1.977e-03,chi2+cc
TruthfulQA,llama3.1:8b,mcnemar,control vs persona_c,b=45 c=64,8.469e-02,chi2+cc
TruthfulQA,mistral,mcnemar,none vs persona_a,b=47 c=91,2.518e-04,chi2+cc
TruthfulQA,mistral,mcnemar,none vs persona_b,b=40 c=101,4.351e-07,chi2+cc
TruthfulQA,mistral,mcnemar,none vs persona_c,b=37 c=94,9.944e-07,chi2+cc
TruthfulQA,mistral,mcnemar,control vs persona_a,b=52 c=79,2.311e-02,chi2+cc
TruthfulQA,mistral,mcnemar,control vs persona_b,b=42 c=86,1.443e-04,chi2+cc
TruthfulQA,mistral,mcnemar,control vs persona_c,b=40 c=80,3.706e-04,chi2+cc
TruthfulQA,phi3.5,mcnemar,none vs persona_a,b=28 c=34,5.254e-01,chi2+cc
TruthfulQA,phi3.5,mcnemar,none vs persona_b,b=25 c=40,8.248e-02,chi2+cc
TruthfulQA,phi3.5,mcnemar,none vs persona_c,b=19 c=36,3.097e-02,chi2+cc
TruthfulQA,phi3.5,mcnemar,control vs persona_a,b=27 c=31,6.936e-01,chi2+cc
TruthfulQA,phi3.5,mcnemar,control vs persona_b,b=26 c=39,1.366e-01,chi2+cc
TruthfulQA,phi3.5,mcnemar,control vs persona_c,b=19 c=34,5.447e-02,chi2+cc
TruthfulQA,qwen2.5:7b,mcnemar,none vs persona_a,b=52 c=37,1.378e-01,chi2+cc
TruthfulQA,qwen2.5:7b,mcnemar,none vs persona_b,b=35 c=50,1.289e-01,chi2+cc
TruthfulQA,qwen2.5:7b,mcnemar,none vs persona_c,b=39 c=34,6.397e-01,chi2+cc
